종목코드,종목명,투자위험등급,테마
153130,KODEX 단기채권,3,채권
214980,KODEX 단기채권PLUS,3,채권
305720,KODEX 2차전지산업,2,2차전지
273130,KODEX 종합채권(AA-이상)액티브,3,채권
157450,TIGER 단기통안채,3,통안채
139260,TIGER 200 IT,1,국내 기술주
364980,TIGER KRX2차전지K-뉴딜,2,2차전지
305540,TIGER 2차전지테마,2,2차전지
91180,KODEX 자동차,1,국내 자동차
91160,KODEX 반도체,1,국내 반도체
272580,TIGER 단기채권액티브,3,채권
190620,KINDEX 단기통안채,3,통안채
196230,KBSTAR 단기통안채,3,통안채
326240,KBSTAR IT플러스,2,국내 기술주
136340,KBSTAR 중기우량회사채,3,채권
117700,KODEX 건설,1,국내 건설
363510,SMART KIS단기통안채,3,통안채
363580,KODEX 200IT TR,2,국내 기술주
