Ticker,Name,level
 SPY ,SPDR S&P 500 ETF Trust,2
 IVV ,iShares Core S&P 500 ETF,2
 VTI ,Vanguard Total Stock Market ETF,2
 VOO ,Vanguard S&P 500 ETF,2
 QQQ ,Invesco QQQ Trust,2
 VEA ,Vanguard FTSE Developed Markets ETF,2
 IEFA ,iShares Core MSCI EAFE ETF,2
 AGG ,iShares Core U.S. Aggregate Bond ETF,3
 VTV ,Vanguard Value ETF,2
 IEMG ,iShares Core MSCI Emerging Markets ETF,2
 VWO ,Vanguard FTSE Emerging Markets ETF,2
 BND ,Vanguard Total Bond Market ETF,3
 VUG ,Vanguard Growth ETF,2
 IJR ,iShares Core S&P Small-Cap ETF,2
 IWF ,iShares Russell 1000 Growth ETF,2
 IJH ,iShares Core S&P Mid-Cap ETF,2
 IWM ,iShares Russell 2000 ETF,2
 GLD ,SPDR Gold Trust,1
 VIG ,Vanguard Dividend Appreciation ETF,2
 EFA ,iShares MSCI EAFE ETF,2
 IWD ,iShares Russell 1000 Value ETF,2
 VO ,Vanguard Mid-Cap ETF,2
 VXUS ,Vanguard Total International Stock ETF,2
 VCIT ,Vanguard Intermediate-Term Corporate Bond ETF,3
 VB ,Vanguard Small-Cap ETF,2
 XLF ,Financial Select Sector SPDR Fund,2
 VGT ,Vanguard Information Technology ETF,2
 BNDX ,Vanguard Total International Bond ETF,3
 LQD ,iShares iBoxx USD Investment Grade Corporate Bond ETF,3
 VCSH ,Vanguard Short-Term Corporate Bond ETF,3
 VNQ ,Vanguard Real Estate ETF,2
 XLK ,Technology Select Sector SPDR Fund,2
 ITOT ,iShares Core S&P Total U.S. Stock Market ETF,2
 VYM ,Vanguard High Dividend Yield ETF,2
 VEU ,Vanguard FTSE All-World ex-US ETF,2
 BSV ,Vanguard Short-Term Bond ETF,3
 IVW ,iShares S&P 500 Growth ETF,2
 EEM ,iShares MSCI Emerging Markets ETF,2
 DIA ,SPDR Dow Jones Industrial Average ETF Trust,2
 IAU ,iShares Gold Trust,1
 SCHX ,Schwab U.S. Large-Cap ETF,2
 USMV ,iShares MSCI USA Min Vol Factor ETF,2
 IXUS ,iShares Core MSCI Total International Stock ETF,2
 TIP ,iShares TIPS Bond ETF,3
 IWB ,iShares Russell 1000 ETF,2
 IWR ,iShares Russell Mid-Cap ETF,2
 RSP ,Invesco S&P 500 Equal Weight ETF,2
 XLV ,Health Care Select Sector SPDR Fund,2
 SCHF ,Schwab International Equity ETF,2
MBB,iShares MBS ETF,3
IGSB,iShares 1-5 Year Investment Grade Corporate Bond ETF,3
SCHD,Schwab U.S. Dividend Equity ETF,2
IVE,iShares S&P 500 Value ETF,2
MUB,iShares National Muni Bond ETF,3
HYG,iShares iBoxx USD High Yield Corporate Bond ETF,3
MDY,SPDR S&P Midcap 400 ETF Trust,2
SCHB,Schwab U.S. Broad Market ETF,2
QUAL,iShares MSCI USA Quality Factor ETF,2
PFF,iShares Preferred and Income Securities ETF,3
SCHP,Schwab U.S. TIPS ETF,3
JPST,JPMorgan Ultra-Short Income ETF,3
IWN,iShares Russell 2000 Value ETF,2
SCHA,Schwab U.S. Small-Cap ETF,2
MINT,PIMCO Enhanced Short Maturity Active ETF,3
IWP,iShares Russell Mid-Cap Growth ETF,2
IWS,iShares Russell Mid-Cap Value ETF,2
SCHG,Schwab U.S. Large-Cap Growth ETF,2
IEF,iShares 7-10 Year Treasury Bond ETF,3
MTUM,iShares MSCI USA Momentum Factor ETF,2
IUSB,iShares Core Total USD Bond Market ETF,3
IGIB,iShares 5-10 Year Investment Grade Corporate Bond ETF,3
IWV,iShares Russell 3000 ETF,2
IWO,iShares Russell 2000 Growth ETF,2
IEI,iShares 3-7 Year Treasury Bond ETF,3
IUSG,iShares Core S&P U.S. Growth ETF,2
MGK,Vanguard Mega Cap Growth ETF,2
IBB,iShares Biotechnology ETF,2
IUSV,iShares Core S&P U.S. Value ETF,2
SCHV,Schwab U.S. Large-Cap Value ETF,2
JNK,SPDR Bloomberg Barclays High Yield Bond ETF,3
SCHM,Schwab U.S. Mid-Cap ETF,2
SCHE,Schwab Emerging Markets Equity ETF,2
IJS,iShares S&P Small-Cap 600 Value ETF,2
NOBL,ProShares S&P 500 Dividend Aristocrats ETF,2
IJJ,iShares S&P Mid-Cap 400 Value ETF,2
SCHO,Schwab Short-Term U.S. Treasury ETF,3
